Entity,Code,Year,Total,,
Afghanistan,AFG,2010,0.209999993,,
Afghanistan,AFG,2015,0.209999993,,
Afghanistan,AFG,2018,0.209999993,,
Albania,ALB,2000,6.570000172,,
Albania,ALB,2005,7.650000095,,§§
Albania,ALB,2010,7.690000057,,
Albania,ALB,2015,6.739999771,,
Albania,ALB,2018,7.170000076,,
Algeria,DZA,2000,0.579999983,,
Algeria,DZA,2005,0.810000002,,
Algeria,DZA,2010,0.649999976,,
Algeria,DZA,2015,0.930000007,,
Algeria,DZA,2018,0.949999988,,
Andorra,AND,2000,13.27999973,,
Andorra,AND,2005,12.55000019,,
Andorra,AND,2010,11.10999966,,
Andorra,AND,2015,11.01000023,,
Andorra,AND,2018,11.02000046,,
Angola,AGO,2000,2.75999999,,
Angola,AGO,2005,4.889999866,,
Angola,AGO,2010,8.159999847,,
Angola,AGO,2015,7.960000038,,
Angola,AGO,2018,6.940000057,,
Antigua and Barbuda,ATG,2000,5.130000114,,
Antigua and Barbuda,ATG,2005,5.369999886,,
Antigua and Barbuda,ATG,2010,5.599999905,,
Antigua and Barbuda,ATG,2015,5.889999866,,
Antigua and Barbuda,ATG,2018,6.380000114,,
Argentina,ARG,2000,8.75,,
Argentina,ARG,2005,8.659999847,,
Argentina,ARG,2010,9.090000153,,
Argentina,ARG,2015,9.550000191,,
Argentina,ARG,2018,9.649999619,,
Armenia,ARM,2000,4.230000019,,
Armenia,ARM,2005,5.789999962,,
Armenia,ARM,2010,5.690000057,,
Armenia,ARM,2015,5.840000153,,
Armenia,ARM,2018,5.550000191,,
Australia,AUS,2000,11.72000027,,
Australia,AUS,2005,12.07999992,,
Australia,AUS,2010,12.39000034,,
Australia,AUS,2015,10.82999992,,
Australia,AUS,2018,10.51000023,,
Austria,AUT,2000,13.11999989,,
Austria,AUT,2005,12.78999996,,
Austria,AUT,2010,12.19999981,,
Austria,AUT,2015,12.06999969,,
Austria,AUT,2018,11.96000004,,
Azerbaijan,AZE,2000,3.450000048,,
Azerbaijan,AZE,2005,1.809999943,,
Azerbaijan,AZE,2010,2.970000029,,
Azerbaijan,AZE,2015,4.579999924,,
Azerbaijan,AZE,2018,4.409999847,,
Bahamas,BHS,2000,5.579999924,,
Bahamas,BHS,2005,4.28000021,,
Bahamas,BHS,2010,4.119999886,,
Bahamas,BHS,2015,4.550000191,,
Bahamas,BHS,2018,4.78000021,,
Bahrain,BHR,2000,1.74000001,,
Bahrain,BHR,2005,1.75999999,,
Bahrain,BHR,2010,1.690000057,,
Bahrain,BHR,2015,1.299999952,,
Bahrain,BHR,2018,1.090000033,,
Bangladesh,BGD,2000,0.230000004,,
Bangladesh,BGD,2005,0.159999996,,
Bangladesh,BGD,2010,0.159999996,,
Bangladesh,BGD,2015,0.021,,
Bangladesh,BGD,2018,0.018999999,,
Barbados,BRB,2000,7.110000134,,
Barbados,BRB,2005,7.400000095,,
Barbados,BRB,2010,7.949999809,,
Barbados,BRB,2015,9.329999924,,
Barbados,BRB,2018,9.68999958,,
Belarus,BLR,2000,15.17000008,,
Belarus,BLR,2005,15.30000019,,
Belarus,BLR,2010,17.43000031,,
Belarus,BLR,2015,12,,
Belarus,BLR,2018,11.44999981,,
Belgium,BEL,2000,12.48999977,,
Belgium,BEL,2005,13.13000011,,
Belgium,BEL,2010,11.39999962,,
Belgium,BEL,2015,11.81999969,,
Belgium,BEL,2018,11.07999992,,
Belize,BLZ,2000,5.550000191,,
Belize,BLZ,2005,7.159999847,,
Belize,BLZ,2010,7.079999924,,
Belize,BLZ,2015,6.739999771,,
